Province,District,Sector,Identifier,pop2012,pop2022,pop2022_urbM,pop2022_urbF,pop2022_rurM,pop2022_rurF,sector_household_size,nDwellings_urb,nDwellings_rur,Wood with mud,Sun dried bricks,All non durable wall materials,Cement blocks,Concrete,Stone,Timber,Burnt bricks,Roof Iron Sheets,Roof Tiles,Roof Concrete,Roof Grass
Northern Province,Burera,Rugarama,BureraRugarama,"24,014","27,051",901,900,"12,145","13,105",4.249018068,423.8626363,5942.549455,64.79724208,29.28631256,0.102042901,1.428600613,0,2.857201226,0,1.428600613,98.3,1.7,0,0
Northern Province,Burera,Rugengabari,BureraRugengabari,"18,467","20,920",,,"9,768","11,152",4.151629571,0,5038.985209,2.426666667,95.85333333,0,0,0,0.505555556,0,1.314444445,44.64464464,55.35535536,0,0
Northern Province,Burera,Ruhunde,BureraRuhunde,"16,975","20,157",,,"9,528","10,629",3.970843184,0,5076.251836,4.914729459,93.78106212,0,0,0,0.100300601,0,1.303907816,72.1,27.9,0,0
Northern Province,Burera,Rusarabuye,BureraRusarabuye,"18,396","20,659",470,492,"9,521","10,176",4.226694045,227.6010494,4660.143315,10.21222222,86.75333333,0,0,0,0.404444444,0.101111111,2.628888889,85.5,14.5,0,0
Northern Province,Burera,Rwerere,BureraRwerere,"18,310","21,611",,,"10,236","11,375",4.221133111,0,5119.715354,5.91775326,91.47442327,0,0.100300903,0,0.902708124,0,1.604814443,78.1,21.9,0,0
Northern Province,Gakenke,Busengo,GakenkeBusengo,"20,164","21,392",,,"10,048","11,344",4.001122965,0,5346.499018,1.609667674,97.08308157,0.704229607,0,0,0,0,0.503021148,43.44348697,56.45651303,0,0
Northern Province,Gakenke,Coko,GakenkeCoko,"16,340","17,942",,,"8,673","9,269",3.899956503,0,4600.564131,2.304609218,85.27054108,0,0,0,0.801603206,0,11.62324649,59,40.9,0,0
Northern Province,Gakenke,Cyabingo,GakenkeCyabingo,"17,544","18,785",,,"8,917","9,868",3.890754561,0,4828.112313,3.907839196,94.89035176,0,0,0,0.100201005,0,0.80160804,38.03803804,61.96196196,0,0
Northern Province,Gakenke,Gakenke,GakenkeGakenke,"22,670","25,325","2,185","2,412","9,749","10,979",3.960213033,1160.79614,5234.061862,1.622741117,89.35218274,0,0,0,2.636954315,0,6.288121827,68.4,31.5,0,0
Northern Province,Gakenke,Gashenyi,GakenkeGashenyi,"20,067","22,647",,,"10,661","11,986",3.846702923,0,5887.379518,1.842374616,96.41760491,0,0.102354145,0,0.921187308,0,0.716479017,79.9,20.1,0,0
